Name,PetID,Age,age_group,gender_label,breed1_label,breed2_label,clip_breed_1,clip_breed_1_score,clip_breed_2,clip_breed_2_score,maturity_size_label,breed_score,breed_explanation,structured_score,bert_similarity,clip_image_text_similarity,final_score,clip_num_images_used_for_similarity
Jimmy,069762ec2,42,adult,female,Australian Kelpie,,Dachshund,0.0058265258558094,Black and Tan Coonhound,0.0057965298183262,medium,1.0,razza principale del dataset corrisponde: +1.0,1.0,0.86214215,0.6140701621770859,0.9076460607349872,1
Oreo,aee1ad5e4,1,puppy,female,Australian Kelpie,Mixed Breed,Australian Kelpie,0.0055866097100079,Lowchen,0.0055857934057712,medium,1.0,razza principale del dataset corrisponde: +1.0,1.0,0.8269304,0.6299669444561005,0.9012276425957679,3
Susu,cf8539482,1,puppy,female,Australian Kelpie,Mixed Breed,Yellow Labrador Retriever,0.0056900926865637,Labrador Retriever,0.0056538777425885,medium,1.0,razza principale del dataset corrisponde: +1.0,1.0,0.814403,0.6171194091439247,0.8961686607450247,3
Cinnamon,4f402845d,1,puppy,female,Australian Kelpie,Mixed Breed,Chihuahua,0.0055790855549275,Black Mouth Cur,0.0055626821704208,medium,1.0,razza principale del dataset corrisponde: +1.0,1.0,0.80362934,0.6241035014390945,0.8945228599011897,3
Mina,7023f6b45,3,puppy,female,Mixed Breed,Doberman Pinscher,Beauceron,0.0057612583041191,Rottweiler,0.0057446211576461,medium,0.5,"razza calcolata da CLIP corrisponde (Australian Kelpie, score CLIP=0.0057): +0.5",0.8333333333333334,0.92952824,0.6455388963222504,0.8292128935456275,5
O-reo,e3a5332ce,12,young,female,Mixed Breed,Collie,Beauceron,0.0057869339361786,Australian Kelpie,0.0057555041275918,medium,0.5,"razza calcolata da CLIP corrisponde (Australian Kelpie, score CLIP=0.0058): +0.5",0.8333333333333334,0.9182695,0.6597612798213959,0.8285315707325935,3
Mia: Super Sweet & Manja Girl :-),4f75e3aa2,12,young,female,Hound,Mixed Breed,Pharaoh Hound,0.00571920722723,Australian Kelpie,0.0057040997780859,medium,0.5,"razza calcolata da CLIP corrisponde (Australian Kelpie, score CLIP=0.0057): +0.5",0.8333333333333334,0.91556734,0.6537608355283737,0.8269559599459171,3
Cookie,4f7aa1d3c,9,young,female,Mixed Breed,,Basenji,0.0056903213262557,Toy Fox Terrier,0.0056867911480367,medium,0.5,"razza calcolata da CLIP corrisponde (Australian Kelpie, score CLIP=0.0056): +0.5",0.8333333333333334,0.9087322,0.6582613885402679,0.8259222522377968,2
Trexie,036e015d2,7,puppy,female,German Spitz,Mixed Breed,Schipperke,0.0060710171237587,Belgian Shepherd Dog Sheepdog,0.0058465395122766,medium,0.5,"razza calcolata da CLIP corrisponde (Australian Kelpie, score CLIP=0.0058): +0.5",0.8333333333333334,0.91106796,0.6540274322032928,0.8258711054921151,3
Tammy,39c02e302,13,young,female,Mixed Breed,,Australian Kelpie,0.0056743109598755,Lowchen,0.0056388969533145,medium,0.5,"razza calcolata da CLIP corrisponde (Australian Kelpie, score CLIP=0.0057): +0.5",0.8333333333333334,0.9088117,0.6500232219696045,0.8247064054012299,3
Ninja,210b8d077,2,puppy,female,Mixed Breed,,Australian Kelpie,0.0057456362992525,Miniature Pinscher,0.0057384669780731,medium,0.5,"razza calcolata da CLIP corrisponde (Australian Kelpie, score CLIP=0.0057): +0.5",0.8333333333333334,0.9079935,0.6499604880809784,0.824492447078228,2
Bella,a3d8c3aaa,1,puppy,female,Mixed Breed,,Rottweiler,0.0057399594224989,Beauceron,0.0056970310397446,medium,0.5,"razza calcolata da CLIP corrisponde (Australian Kelpie, score CLIP=0.0057): +0.5",0.8333333333333334,0.9114574,0.6438665091991425,0.8244443312287331,6
Girl Girl,9ea8e240f,24,adult,female,Mixed Breed,,Chesapeake Bay Retriever,0.0056876773014664,Lowchen,0.0056405165232717,medium,0.5,"razza calcolata da CLIP corrisponde (Australian Kelpie, score CLIP=0.0056): +0.5",0.8333333333333334,0.9005712,0.6564517170190811,0.8236105643212795,5
Oreo,15d4c0bad,2,puppy,female,Mixed Breed,,Australian Cattle Dog/Blue Heeler,0.0056193438358604,Jack Russell Terrier (Parson Russell Terrier),0.0056084254756569,medium,0.5,"razza calcolata da CLIP corrisponde (Australian Kelpie, score CLIP=0.0056): +0.5",0.8333333333333334,0.9048251,0.6489993631839752,0.8235561773180962,5
K-28 Hunter,d919bd302,24,adult,female,Mixed Breed,,Schipperke,0.0056913425214588,Black Labrador Retriever,0.0056697051040828,medium,0.5,"razza calcolata da CLIP corrisponde (Australian Kelpie, score CLIP=0.0056): +0.5",0.8333333333333334,0.91176283,0.6324366629123688,0.8228062078356743,2
