PetID,Name,breed1_label,breed2_label,visual_breed_1,visual_breed_1_score,visual_breed_2,visual_breed_2_score,visual_breed_3,visual_breed_3_score,rank_without_visual,rank_with_visual,rank_improvement
936fc22ce,AB3,Mixed Breed,Mixed Breed,Labrador retriever,0.5290883183479309,golden retriever,0.0525336414575576,Chesapeake Bay retriever,0.0031721876002848,7438,1481,5957
05fb5b403,Willy,Mixed Breed,,Labrador retriever,0.5024274587631226,golden retriever,0.0360890440642833,Walker hound,0.0040657422505319,6281,445,5836
35d9045fb,Milly,Mixed Breed,,Labrador retriever,0.4929191172122955,golden retriever,0.0360402688384056,Chihuahua,0.0126288039609789,6280,464,5816
d7185ffc1,,Mixed Breed,,Labrador retriever,0.4371978342533111,beagle,0.0905899032950401,golden retriever,0.0104962056502699,6082,525,5557
0d7f7a155,Darling,Mixed Breed,,Labrador retriever,0.410481184720993,Staffordshire bullterrier,0.0335760489106178,golden retriever,0.0180501658469438,6416,867,5549
277e3979a,,Mixed Breed,Mixed Breed,Labrador retriever,0.4874455630779266,golden retriever,0.0129799880087375,beagle,0.0091502023860812,5926,415,5511
814740bc3,R5,Mixed Breed,Mixed Breed,Labrador retriever,0.5045381784439087,golden retriever,0.0638830289244651,Border terrier,0.0081541743129491,7447,1948,5499
8cf927527,Puppy,Mixed Breed,Mixed Breed,Labrador retriever,0.4732349514961242,golden retriever,0.0336384139955043,Sussex spaniel,0.0055448892526328,5896,429,5467
89bac4c29,Britney,Mixed Breed,,Labrador retriever,0.460012674331665,golden retriever,0.0161634255200624,Chihuahua,0.0116788856685161,5810,428,5382
b356b0f05,Mansi,Mixed Breed,,Labrador retriever,0.4014483094215393,golden retriever,0.0246160812675952,Chihuahua,0.0101216156035661,5930,564,5366
a630f3a73,Baby,Mixed Breed,,Labrador retriever,0.4034024775028229,golden retriever,0.055371705442667,American Staffordshire terrier,0.0053211911581456,5886,538,5348
b67a29908,,Mixed Breed,,Labrador retriever,0.3875446319580078,American Staffordshire terrier,0.019712146371603,Chesapeake Bay retriever,0.017403457313776,5920,606,5314
547c7bf41,,Mixed Breed,,Labrador retriever,0.4275656938552856,golden retriever,0.0220461208373308,beagle,0.0103762671351432,5739,452,5287
8132fabfd,4 Pups 6 Weeks,Mixed Breed,Mixed Breed,Labrador retriever,0.3542103767395019,Chihuahua,0.0244850944727659,golden retriever,0.0205146390944719,5578,567,5011
1fd464902,Happy 6 Puppies,Mixed Breed,,Labrador retriever,0.3412002921104431,Chihuahua,0.03480826318264,Chesapeake Bay retriever,0.0197094269096851,5575,614,4961
8648922dd,Trixie  & Baby,Mixed Breed,,Labrador retriever,0.5963404774665833,golden retriever,0.0277629978954792,Chihuahua,0.0262643415480852,5105,308,4797
44aafd1b1,Joy,Mixed Breed,,Labrador retriever,0.3336987197399139,beagle,0.0312388204038143,Staffordshire bullterrier,0.0107788797467947,5258,517,4741
ae14a91dc,,Mixed Breed,,Labrador retriever,0.30879607796669,Staffordshire bullterrier,0.0217315442860126,golden retriever,0.0207923594862222,5157,556,4601
12b47b4e8,Snowie,Mixed Breed,,Labrador retriever,0.289669394493103,American Staffordshire terrier,0.0370796248316764,Staffordshire bullterrier,0.0126270372420549,5462,897,4565
92d0ff357,Minnie,Mixed Breed,Mixed Breed,Labrador retriever,0.293028175830841,golden retriever,0.073271207511425,Chihuahua,0.0269015431404113,5057,573,4484
dd13b36c6,Ella,Mixed Breed,,Labrador retriever,0.5116153359413147,golden retriever,0.040504828095436,bloodhound,0.0031997859477996,4802,327,4475
97db95d21,Doggy,Mixed Breed,,Labrador retriever,0.2872134149074554,golden retriever,0.1109490841627121,Chihuahua,0.01607121899724,5667,1204,4463
cb5e73024,Snow White (å°ç½ï¼,Mixed Breed,,Labrador retriever,0.2723965346813202,golden retriever,0.0245267320424318,Chesapeake Bay retriever,0.0176460482180118,5042,671,4371
ed5c2d9dd,,Mixed Breed,,Labrador retriever,0.3434014320373535,American Staffordshire terrier,0.0582967661321163,Staffordshire bullterrier,0.0299656465649604,4760,433,4327
3745aa22f,,Mixed Breed,,Labrador retriever,0.2607621848583221,golden retriever,0.014030011370778,Ibizan hound,0.0110968723893165,5136,809,4327
3e0ce6020,Cutie,Mixed Breed,Mixed Breed,Labrador retriever,0.2568790912628174,American Staffordshire terrier,0.0545757710933685,Staffordshire bullterrier,0.0391873344779014,5364,1108,4256
d48e16ef4,Blackie,Mixed Breed,,Labrador retriever,0.2953583300113678,flat-coated retriever,0.0359609387814998,Great Dane,0.0182185117155313,4727,495,4232
e910d17de,,Mixed Breed,Yellow Labrador Retriever,Labrador retriever,0.3044084906578064,American Staffordshire terrier,0.0435538552701473,English foxhound,0.0193771608173847,4710,483,4227
1bbb46822,Piston,Mixed Breed,,Labrador retriever,0.3719453811645508,golden retriever,0.0226738732308149,Rottweiler,0.005241684615612,4599,389,4210
191fb0046,Xiao Wang,Mixed Breed,,Labrador retriever,0.2597806751728058,American Staffordshire terrier,0.0218693222850561,Staffordshire bullterrier,0.0097913611680269,5512,1389,4123
7611934a0,Handsome Boy,Mixed Breed,,Labrador retriever,0.4944661259651184,golden retriever,0.0167003758251667,Chihuahua,0.0077805719338357,4415,324,4091
a92c2f233,Scotch,Mixed Breed,,Labrador retriever,0.2646541595458984,golden retriever,0.0405513048171997,Chesapeake Bay retriever,0.0105526093393564,5639,1554,4085
8ab1bbd3f,Sunshine,Mixed Breed,Mixed Breed,Labrador retriever,0.379311740398407,Chesapeake Bay retriever,0.0372653827071189,flat-coated retriever,0.0079474262893199,4437,370,4067
20f05426f,"Browny, Whitney, Pony",Mixed Breed,,Labrador retriever,0.2374706268310547,American Staffordshire terrier,0.0560255870223045,Staffordshire bullterrier,0.0306130200624465,4832,771,4061
e5164d828,Pixie,Mixed Breed,,Labrador retriever,0.2318334281444549,golden retriever,0.020317206159234,American Staffordshire terrier,0.0123929930850863,4924,890,4034
7a2ea6461,Kimmy,Mixed Breed,,Labrador retriever,0.3302608132362366,Chihuahua,0.0263379719108343,beagle,0.0206183809787035,4451,423,4028
d83749129,Jerry,Mixed Breed,,Labrador retriever,0.2373835891485214,American Staffordshire terrier,0.0339201316237449,Staffordshire bullterrier,0.0333979576826095,4702,706,3996
191043d9c,Whittie,Mixed Breed,,Labrador retriever,0.6999422311782837,golden retriever,0.0109319305047392,Ibizan hound,0.0076538389548659,4273,293,3980
a1ba2f016,Carrie (TOP) & Goldie (BOTTOM),Mixed Breed,,Labrador retriever,0.266137033700943,golden retriever,0.0317347161471843,bull mastiff,0.03011205047369,4504,528,3976
69df3f618,Ronnie,Mixed Breed,,Labrador retriever,0.3420832753181457,golden retriever,0.0376543551683425,Border terrier,0.0063993046060204,4347,400,3947
9de6b8550,Brown,Mixed Breed,,Labrador retriever,0.2585150897502899,Chihuahua,0.0694557279348373,golden retriever,0.0432328805327415,4491,546,3945
6627a8ab8,Winter,Mixed Breed,,Labrador retriever,0.4535472095012665,golden retriever,0.0138991326093673,American Staffordshire terrier,0.0123834833502769,4247,340,3907
8b8c51377,Peeko Boy,Mixed Breed,,Labrador retriever,0.3058528900146484,Staffordshire bullterrier,0.0367878451943397,American Staffordshire terrier,0.021778117865324,4344,439,3905
22bc76cf6,Puppies Waiting For Home T.T,Mixed Breed,,Labrador retriever,0.2279133647680282,golden retriever,0.0606386847794055,Chihuahua,0.0397868156433105,5269,1376,3893
b03983a09,â¡Latteâ¡ ( Video-Toilet Trained ),Mixed Breed,,Labrador retriever,0.2516027987003326,Chihuahua,0.038830492645502,American Staffordshire terrier,0.0088419001549482,5580,1696,3884
a12589a09,Baby Bear,Mixed Breed,,Labrador retriever,0.6711714863777161,golden retriever,0.0203925687819719,beagle,0.0101925078779459,4118,294,3824
e27ac6865,4 Pups 8 Weeks,Mixed Breed,Mixed Breed,Labrador retriever,0.2472076565027237,Chihuahua,0.0585198365151882,golden retriever,0.0584234595298767,5579,1782,3797
f80bf9a51,Pup #1,Mixed Breed,,Labrador retriever,0.5112186074256897,golden retriever,0.0461830347776412,beagle,0.0064390799961984,4105,311,3794
33bfeb403,Lovely,Mixed Breed,,Labrador retriever,0.347454696893692,Walker hound,0.0182799100875854,Ibizan hound,0.0147312171757221,4143,387,3756
